asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,Recommendation,gptEvaluation
B09S8PP4TX,"Llama Engraved Whisky Glass, Llama Gift, Gift for Women, Gift for Men",https://m.media-amazon.com/images/I/41rFYTVSxHL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09S8PP4TX,0.0,0,16.99,False,0,Handmade Kitchen & Dining,,
B09RXH31BQ,Women's Tall Block-Heeled Boots,https://m.media-amazon.com/images/I/61C4WkYeEcL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09RXH31BQ,4.4,741,45.4,False,0,Women,,
B081HBD3NH,Mum Print in Frame First My Mother Forever My Friend Personalised Christmas Gift for Mothers,https://m.media-amazon.com/images/I/61KO6hw2YoL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B081HBD3NH,0.0,0,24.99,False,0,Handmade Artwork,,
B07VNMLY4Q,"Laelr Running Belt with Water Bottle Holder, Waist Pack Bag Waterproof with Hydration Belt Holder and Reflective Stripes Fits iPhones, Adjustable Sports Waist Pouch for Marathon Running Cycling",https://m.media-amazon.com/images/I/61wrtBftq0L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07VNMLY4Q,4.5,1620,20.99,True,100,Sports & Outdoors,,
B07SDRFQK1,11x14 PRINT OF PAINTING RYTA PEMBROKE WELSH CORGI DOG FINE WALL ART BEACH SEASCAPE OCEAN VACATION LANDSCAPE PACIFIC ATLANTIC FLORIDA ROOM,https://m.media-amazon.com/images/I/7179KiSclqL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07SDRFQK1,0.0,0,26.95,False,0,Handmade Artwork,,
B09JQZHLN7,"H2O Audio Interval Bone Conduction Swim Headphones for Apple Watch Series 2, 3, 4, 5, 6, 7, SE Waterproof IPX8 Bone Conduction Stereo Earbuds Designed for Swimming",https://m.media-amazon.com/images/I/51tUZlUVHIL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09JQZHLN7,3.5,386,79.99,False,0,Headphones & Earphones,,
B0BTV75HMX,"Ltteaoy Baby Bath Toy, 1+8 pcs Toddler Shower Toy, Submarine Bathtime Toy with 2 Suction Cups",https://m.media-amazon.com/images/I/71V2A58wrHL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BTV75HMX,4.7,12,13.58,False,100,Baby & Toddler Toys,,
B0CG26C16V,"Cavalier King Charles Spaniel Blenheim Coloured Premium Ceramic Coaster, High Quality Cork Backed, Gift for Him or Her and any Dog Lovers",https://m.media-amazon.com/images/I/81sYL+gJ1iL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CG26C16V,0.0,0,5.99,False,0,Handmade Kitchen & Dining,,
B076LN5QX1,Unk NBA Men's Vtm0291f NBA Performance Poly Knit Team Logo T-Shirt,https://m.media-amazon.com/images/I/812yRnHjpQL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B076LN5QX1,4.7,226,22.12,False,0,Sports & Outdoors,,
B093CL22XF,Callaway Men's Fine Line Stripe Polo Shirt,https://m.media-amazon.com/images/I/81iON+zpw9L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B093CL22XF,0.0,0,65.24,False,0,Sports & Outdoors,,
