asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,Recommendation,gptEvaluation
B08S35G3C5,"HYZUO Laptop Backpack with USB Charging Port Anti-Theft Water Resistant Slim Stylish College School Backpack Business Travel Bag Fits Up to 15.6 Inch Laptop for Men and Women, Light Grey",https://m.media-amazon.com/images/I/A1galXBNqhL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B08S35G3C5,4.5,899,36.99,False,0,Luggage and travel gear,,
B000MJVGFW,"Ukraine Flag 5ft x 3ft National Flag Polyester with Brass Grommets, Yellow, Blue, 112430",https://m.media-amazon.com/images/I/41bh+U75RRL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B000MJVGFW,4.6,1533,4.29,False,50,Garden Décor,,
B0BPMJ98Y6,"EMAlusher Thermal Jogging Bottoms Women's Autumn Winter Warm Trousers Leggings Dandelion Printed Trousers Casual Trousers Thermal Undershirt Winter Plush Thermal Trousers, a, M",https://m.media-amazon.com/images/I/51mqlxai63L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BPMJ98Y6,0.0,0,10.69,False,0,Sports & Outdoors,,
B0C9GLL4CV,"Toe Fungus Nail Treatment Extra Strength, Fungal Nail Treatment for Toenails, Fungus Nail Treatment, Anti Fungal Toenail Care, Nail Fungus Treatment, Nail Fungus Treatment for Toenail & Fingernails",https://m.media-amazon.com/images/I/818VeewMUrL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C9GLL4CV,4.7,228,16.99,False,50,Manicure & Pedicure Products,,
B0CCVBYZSW,"AWAVM Fanny Pack Fashionable Waist Bag Casual Travel Bum Bag with 3 Zipper Pockets,Bumbags for Ladies Men Sports Running Hiking Jogging(Black)",https://m.media-amazon.com/images/I/61AV5ga6qNL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CCVBYZSW,5.0,1,5.88,False,0,Sports & Outdoors,,
B09SZ2QTQ7,"SEGNO 182 Pcs Spare Parts Mechanical Technology Parts DIY Building Blocks Replacement Parts, Compatible with Lego Technic Parts",https://m.media-amazon.com/images/I/71HTJDZTtpL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09SZ2QTQ7,4.7,4,25.91,False,0,Building & Construction Toys,,
B0BLLPFS4G,"HDYNUZ Accordion Gig Bag, Accordion Trolley Case, Thickened Oxford Cloth Shockproof Accordion Carry Case for 48-120 Bass Accordions, with Pulleys, Black",https://m.media-amazon.com/images/I/41qpz5cobuL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BLLPFS4G,0.0,0,233.7,False,0,Piano & Keyboard,,
B0CDR5TL69,"2PCS Mandala Colouring Books for Adults, 80 Mindfulness Patterns, Adult Colouring Books for Women, Adult Colouring Books with Black Cardboard, A4 Size Perforated Paper One-Sided Printing",https://m.media-amazon.com/images/I/A1PfmQkEeXL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CDR5TL69,0.0,0,14.99,False,0,Kids' Art & Craft Supplies,,
B003BIFOUY,"Croydex Hampstead Wall Mounted Towel Rail with Zinc Alloy Construction, Chrome",https://m.media-amazon.com/images/I/51fGDAJN5vL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B003BIFOUY,3.8,9,38.67,False,0,Bathroom Furniture,,
B00IP3S3WG,Wilkinson Sword Cuticle Scissors with Thin Point,https://m.media-amazon.com/images/I/710DrWnlLPL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B00IP3S3WG,4.4,357,14.56,False,0,Manicure & Pedicure Products,,
